,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     21697.45,     21812.75,     22126.80,     21805.55,     21853.80,156.35
,NIFTY50 EQL Wgt,     27076.90,     27214.10,     27606.10,     27206.05,     27411.65,334.75
,NIFTY100 EQL Wgt,     27527.20,     27681.10,     27946.75,     27672.90,     27789.55,262.35
,NIFTY100 LowVol30,     17413.05,     17493.40,     17709.10,     17489.30,     17589.20,176.15
,NIFTY Alpha 50,     46758.50,     46947.20,     47451.85,     46857.75,     47086.15,327.65
,NIFTY MIDCAP 150,     17782.80,     17863.05,     17976.70,     17844.10,     17873.35,90.55
,NIFTY SMLCAP 50,      7454.50,      7506.10,      7580.30,      7496.80,      7524.85,70.35
,NIFTY SMLCAP 250,     15084.20,     15193.35,     15277.65,     15148.50,     15175.90,91.7
,NIFTY MIDSML 400,     16863.85,     16956.55,     17056.15,     16927.70,     16955.75,91.9
,NIFTY200 QUALTY30,     18441.05,     18526.45,     18725.30,     18523.25,     18602.20,161.15
,Nifty FinSrv25 50,     22286.90,     22434.05,     22610.20,     22220.55,     22250.10,-36.8
,NIFTY AlphaLowVol,     24304.80,     24408.80,     24716.95,     24408.80,     24606.70,301.9
,Nifty200Momentm30,     28845.15,     29012.80,     29375.15,     29003.25,     29173.95,328.8
,Nifty100ESGSecLdr,      3561.85,      3580.25,      3632.00,      3580.10,      3588.65,26.8
,NIFTY100 ESG,      4228.15,      4251.25,      4304.65,      4250.40,      4260.00,31.85
,NIFTY M150 QLTY50,     20786.55,     20862.70,     20999.70,     20852.15,     20924.20,137.65
,NIFTY INDIA MFG,     11249.65,     11290.35,     11413.55,     11278.60,     11365.40,115.75
,Nifty200 Alpha 30,     21835.30,     21979.80,     22251.80,     21973.70,     22100.00,264.7
,NiftyM150Momntm50,     52171.75,     52485.05,     52990.05,     52448.80,     52676.55,504.8
,Nifty IT,     36534.55,     36730.15,     37663.95,     36729.95,     37323.25,788.7
,Nifty Next 50,     55508.85,     55852.80,     56218.25,     55818.60,     55940.30,431.45
,Nifty Bank,     46188.65,     46568.20,     46892.35,     45901.25,     45970.95,-217.7
,NIFTY MIDCAP 100,     48298.00,     48521.00,     48796.35,     48416.10,     48477.00,179
,Nifty 500,     19777.35,     19884.65,     20101.15,     19874.80,     19910.80,133.45
,Nifty 100,     22039.60,     22158.70,     22444.75,     22155.00,     22199.00,159.4
,Nifty Midcap 50,     13529.35,     13625.20,     13747.35,     13614.20,     13657.70,128.35
,Nifty Realty,       848.15,       853.00,       868.35,       849.35,       856.20,8.05
,Nifty Infra,      7825.90,      7870.45,      8007.20,      7868.50,      7946.15,120.25
,Nifty Energy,     36910.60,     37139.05,     38226.60,     37122.75,     38077.70,1167.1
,Nifty FMCG,     55215.80,     55347.40,     55557.50,     54992.90,     55118.40,-97.4
,Nifty MNC,     24221.90,     24252.15,     24442.05,     24230.95,     24309.15,87.25
,Nifty Pharma,     17839.20,     17885.35,     18084.70,     17884.70,     17972.10,132.9
,Nifty PSE,      8711.05,      8782.45,      9051.95,      8776.15,      9005.00,293.95
,Nifty PSU Bank,      6466.45,      6543.30,      6699.35,      6524.25,      6609.75,143.3
,Nifty Serv Sector,     27422.50,     27590.15,     27971.80,     27518.70,     27543.35,120.85
,India VIX,14.4550,14.4550,15.1325,14.0250,14.6975,0.2425
,Nifty Auto,     19328.70,     19364.00,     19563.05,     19304.75,     19380.50,51.8
,Nifty Metal,      7891.05,      7953.20,      8115.20,      7928.40,      8078.25,187.2
,Nifty Media,      2127.60,      2144.95,      2179.90,      2118.95,      2129.05,1.45
,NIFTY SMLCAP 100,     16127.20,     16253.20,     16388.65,     16225.25,     16277.85,150.65
,Nifty 200,     11937.65,     12000.60,     12140.20,     11995.45,     12017.20,79.55
,Nifty Div Opps 50,      5661.15,      5693.15,      5801.85,      5692.75,      5770.95,109.8
,Nifty Commodities,      7935.65,      7996.45,      8136.15,      7990.00,      8105.85,170.2
,Nifty Consumption,      9636.40,      9664.30,      9722.15,      9616.85,      9633.10,-3.3
,Nifty Fin Service,     20516.65,     20661.05,     20817.50,     20408.30,     20434.05,-82.6
,Nifty50 Div Point,       191.41,       191.41,       191.41,       191.41,       191.41,0
,Nifty100 Liq 15,      6046.40,      6072.80,      6164.55,      6069.90,      6082.65,36.25
,Nifty CPSE,      5435.60,      5473.25,      5662.35,      5469.30,      5647.80,212.2
,Nifty GrowSect 15,     10945.15,     10976.60,     11143.10,     10975.75,     11034.70,89.55
,Nifty50 PR 2x Lev,     11753.90,     11876.65,     12215.90,     11869.25,     11921.15,167.25
,Nifty50 PR 1x Inv,       221.10,       219.95,       220.05,       216.75,       219.55,-1.55
,Nifty50 TR 2x Lev,     16773.85,     16949.00,     17433.15,     16938.45,     17012.50,238.65
,Nifty50 TR 1x Inv,       185.30,       184.35,       184.40,       181.65,       184.00,-1.3
,Nifty50 Value 20,     11970.40,     12046.10,     12272.00,     12045.05,     12145.90,175.5
,Nifty Mid Liq 15,     11118.15,     11167.50,     11281.90,     11153.15,     11211.20,93.05
,Nifty Pvt Bank,     23623.75,     23799.50,     23956.45,     23422.65,     23453.50,-170.25
,NIFTY100 Qualty30,      4999.35,      5020.45,      5072.30,      5016.75,      5034.15,34.8
,Nifty GS 8 13Yr,      2555.64,      2556.13,      2556.13,      2556.13,      2556.13,.49
,Nifty GS 10Yr,      2263.58,      2264.02,      2264.02,      2264.02,      2264.02,.44
,Nifty GS 10Yr Cln,       877.10,       877.10,       877.10,       877.10,       877.10,0
,Nifty GS 4 8Yr,      2771.27,      2771.81,      2771.81,      2771.81,      2771.81,.54
,Nifty GS 11 15Yr,      2817.91,      2818.47,      2818.47,      2818.47,      2818.47,.56
,Nifty GS 15YrPlus,      3104.77,      3105.38,      3105.38,      3105.38,      3105.38,.61
,Nifty GS Compsite,      2643.53,      2644.05,      2644.05,      2644.05,      2644.05,.52
,NIFTY HEALTHCARE,     11371.50,     11387.80,     11450.15,     11355.00,     11392.55,21.05
,NIFTY CONSR DURBL,     31332.30,     31447.20,     31697.55,     31281.55,     31430.50,98.2
,NIFTY OIL AND GAS,     10727.95,     10825.85,     11159.80,     10816.65,     11111.50,383.55
,NIFTY500 MULTICAP,     13764.85,     13842.70,     13967.60,     13829.15,     13852.80,87.95
,NIFTY LARGEMID250,     13659.95,     13727.55,     13854.30,     13720.90,     13743.85,83.9
,NIFTY MID SELECT,     10631.55,     10704.70,     10794.35,     10689.90,     10728.75,97.2
,NIFTY TOTAL MKT,     11135.05,     11195.90,     11315.15,     11187.90,     11208.85,73.8
,NIFTY MICROCAP250,     20422.10,     20552.55,     20670.10,     20422.90,     20493.10,71
,NIFTY IND DIGITAL,      7541.00,      7529.35,      7633.25,      7529.00,      7584.25,43.25

,ADVANCES,1336
,DECLINES,1211
,UNCHANGED,82

,Total securities that have hit their price bands today,228

,TOP 25 Securities Today :